

===== No.40 =====
(((33.0, 49.0), '+'), 'South'): 19
(((6.0, 16.0), '+'), 'North'): 6
(((27.0, 7.0), '+'), 'East'): 11
(((32.0, 15.0), '+'), 'East'): 17
(((1.0, 46.0), '+'), 'North'): 14
(((11.0, 33.0), '+'), 'West'): 14
(((48.0, 20.0), '+'), 'East'): 22
(((3.0, 35.0), '+'), 'West'): 14
(((34.0, 47.0), '+'), 'South'): 21
(((28.0, 30.0), '+'), 'North'): 15
(((42.0, 3.0), '+'), 'West'): 18
(((28.0, 2.0), '+'), 'East'): 10
(((7.0, 10.0), '+'), 'West'): 2
(((21.0, 9.0), '+'), 'North'): 9
(((19.0, 9.0), '+'), 'South'): 10
(((32.0, 36.0), '+'), 'South'): 18
(((22.0, 9.0), '+'), 'East'): 9
(((36.0, 32.0), '+'), 'South'): 19
(((3.0, 16.0), '+'), 'North'): 7
(((20.0, 9.0), '+'), 'East'): 9
(((43.0, 36.0), '+'), 'South'): 21
(((12.0, 15.0), '+'), 'South'): 4
(((48.0, 15.0), '+'), 'South'): 19
(((6.0, 17.0), '+'), 'East'): 8
(((0.0, 41.0), '+'), 'North'): 13
(((12.0, 14.0), '+'), 'South'): 7
(((18.0, 19.0), '+'), 'West'): 16
(((18.0, 19.0), '+'), 'South'): 17
(((6.0, 5.0), '+'), 'North'): 3
(((41.0, 49.0), '+'), 'South'): 20
(((41.0, 15.0), '+'), 'West'): 20
(((4.0, 3.0), '+'), 'North'): 3
(((24.0, 22.0), '+'), 'South'): 17
(((9.0, 23.0), '+'), 'West'): 13
(((48.0, 31.0), '+'), 'North'): 22
(((6.0, 29.0), '+'), 'South'): 16
(((49.0, 4.0), '+'), 'North'): 20
(((44.0, 9.0), '+'), 'West'): 19
(((33.0, 46.0), '+'), 'East'): 20
(((11.0, 14.0), '+'), 'North'): 4
(((5.0, 2.0), '+'), 'North'): 3
(((38.0, 9.0), '+'), 'West'): 17
(((32.0, 30.0), '+'), 'South'): 16
(((17.0, 43.0), '+'), 'East'): 17
(((33.0, 44.0), '+'), 'North'): 21
(((35.0, 0.0), '+'), 'North'): 8
(((43.0, 3.0), '+'), 'West'): 18
(((47.0, 33.0), '+'), 'East'): 21
(((9.0, 17.0), '+'), 'West'): 5
(((10.0, 33.0), '+'), 'South'): 14
(((30.0, 6.0), '+'), 'South'): 10
(((16.0, 9.0), '+'), 'South'): 6
(((5.0, 21.0), '+'), 'South'): 12
(((33.0, 32.0), '+'), 'East'): 19
(((47.0, 43.0), '+'), 'East'): 20
(((9.0, 3.0), '+'), 'East'): 4
(((39.0, 22.0), '+'), 'South'): 20
(((28.0, 30.0), '+'), 'West'): 16
(((24.0, 39.0), '+'), 'South'): 19
(((22.0, 14.0), '+'), 'South'): 13
(((28.0, 42.0), '+'), 'West'): 19
(((3.0, 7.0), '+'), 'North'): 3
(((48.0, 19.0), '+'), 'East'): 22
(((43.0, 25.0), '+'), 'South'): 20
(((8.0, 4.0), '+'), 'East'): 3
(((39.0, 17.0), '+'), 'West'): 21
(((37.0, 0.0), '+'), 'East'): 14
(((34.0, 8.0), '+'), 'North'): 15
(((24.0, 1.0), '+'), 'West'): 6
(((41.0, 14.0), '+'), 'South'): 19
(((26.0, 40.0), '+'), 'North'): 19
(((6.0, 9.0), '+'), 'West'): 3
(((9.0, 13.0), '+'), 'West'): 3
(((46.0, 27.0), '+'), 'West'): 21
(((14.0, 29.0), '+'), 'West'): 14
(((32.0, 47.0), '+'), 'North'): 20
(((0.0, 44.0), '+'), 'South'): 13
(((46.0, 2.0), '+'), 'North'): 19
(((23.0, 14.0), '+'), 'East'): 11
(((16.0, 18.0), '+'), 'South'): 20
(((1.0, 20.0), '+'), 'South'): 11
(((38.0, 2.0), '+'), 'West'): 15
(((24.0, 21.0), '+'), 'South'): 17
(((33.0, 12.0), '+'), 'South'): 15
(((44.0, 41.0), '+'), 'West'): 20
(((45.0, 7.0), '+'), 'South'): 19
(((17.0, 8.0), '+'), 'West'): 6
(((9.0, 29.0), '+'), 'East'): 13
(((19.0, 6.0), '+'), 'North'): 9
(((10.0, 12.0), '+'), 'South'): 2
(((16.0, 30.0), '+'), 'South'): 16
(((34.0, 46.0), '+'), 'East'): 20
(((37.0, 42.0), '+'), 'North'): 21
(((8.0, 20.0), '+'), 'East'): 14
(((12.0, 4.0), '+'), 'East'): 5
(((36.0, 5.0), '+'), 'East'): 14
(((1.0, 40.0), '+'), 'East'): 14
(((46.0, 10.0), '+'), 'East'): 18
(((47.0, 41.0), '+'), 'South'): 21
(((23.0, 32.0), '+'), 'North'): 16
(((2.0, 16.0), '+'), 'West'): 6
(((5.0, 45.0), '+'), 'South'): 17
(((15.0, 0.0), '+'), 'North'): 3
(((19.0, 2.0), '+'), 'East'): 8
(((14.0, 28.0), '+'), 'East'): 13
(((41.0, 6.0), '+'), 'North'): 19
(((11.0, 27.0), '+'), 'North'): 14
(((36.0, 21.0), '+'), 'West'): 20
(((4.0, 2.0), '+'), 'South'): 1
(((27.0, 23.0), '+'), 'North'): 15
(((41.0, 14.0), '+'), 'East'): 18
(((43.0, 12.0), '+'), 'West'): 18
(((46.0, 12.0), '+'), 'South'): 20
(((48.0, 16.0), '+'), 'South'): 20
(((48.0, 0.0), '+'), 'East'): 18
(((30.0, 41.0), '+'), 'North'): 20
(((12.0, 43.0), '+'), 'North'): 14
(((42.0, 43.0), '+'), 'South'): 22
(((36.0, 39.0), '+'), 'East'): 21
(((9.0, 20.0), '+'), 'East'): 14
(((31.0, 35.0), '+'), 'North'): 17
(((39.0, 21.0), '+'), 'East'): 20
(((3.0, 35.0), '+'), 'South'): 13
(((12.0, 39.0), '+'), 'West'): 14
(((1.0, 39.0), '+'), 'North'): 13
(((37.0, 42.0), '+'), 'East'): 21
(((12.0, 43.0), '+'), 'South'): 14
(((32.0, 1.0), '+'), 'East'): 9
(((10.0, 38.0), '+'), 'South'): 13
(((22.0, 35.0), '+'), 'West'): 16
(((24.0, 25.0), '+'), 'East'): 15
(((6.0, 44.0), '+'), 'West'): 15
(((45.0, 28.0), '+'), 'South'): 20
(((22.0, 41.0), '+'), 'North'): 18
(((46.0, 4.0), '+'), 'East'): 20
(((21.0, 29.0), '+'), 'East'): 15
(((48.0, 25.0), '+'), 'North'): 21
(((14.0, 49.0), '+'), 'East'): 17
(((10.0, 44.0), '+'), 'North'): 14
(((40.0, 49.0), '+'), 'West'): 20
(((36.0, 48.0), '+'), 'East'): 24
(((37.0, 35.0), '+'), 'South'): 18
(((43.0, 11.0), '+'), 'South'): 19
(((20.0, 3.0), '+'), 'North'): 10
(((7.0, 48.0), '+'), 'West'): 14
(((41.0, 19.0), '+'), 'North'): 17
(((49.0, 37.0), '+'), 'North'): 21
(((44.0, 24.0), '+'), 'West'): 21
(((49.0, 47.0), '+'), 'South'): 20
(((29.0, 15.0), '+'), 'South'): 16
(((35.0, 25.0), '+'), 'West'): 20
(((2.0, 5.0), '+'), 'South'): 2
(((26.0, 19.0), '+'), 'East'): 15
(((16.0, 24.0), '+'), 'East'): 19
(((18.0, 47.0), '+'), 'South'): 18
(((23.0, 14.0), '+'), 'South'): 11
(((42.0, 5.0), '+'), 'South'): 19
(((12.0, 40.0), '+'), 'East'): 14
(((25.0, 8.0), '+'), 'North'): 11
(((8.0, 42.0), '+'), 'North'): 13
(((37.0, 39.0), '+'), 'West'): 21
(((8.0, 36.0), '+'), 'West'): 15
(((35.0, 46.0), '+'), 'North'): 22
(((30.0, 27.0), '+'), 'West'): 16
(((0.0, 33.0), '+'), 'North'): 12
(((31.0, 12.0), '+'), 'East'): 15
(((30.0, 35.0), '+'), 'West'): 18
(((18.0, 18.0), '+'), 'South'): 15
(((20.0, 27.0), '+'), 'East'): 15
(((2.0, 22.0), '+'), 'North'): 11
(((12.0, 7.0), '+'), 'East'): 8
(((19.0, 21.0), '+'), 'West'): 18
(((7.0, 8.0), '+'), 'West'): 4
(((20.0, 5.0), '+'), 'South'): 9
(((34.0, 36.0), '+'), 'West'): 18
(((7.0, 36.0), '+'), 'West'): 14
(((37.0, 31.0), '+'), 'South'): 20
(((19.0, 7.0), '+'), 'South'): 10
(((46.0, 48.0), '+'), 'South'): 20
(((20.0, 42.0), '+'), 'North'): 18
(((44.0, 14.0), '+'), 'East'): 19
(((32.0, 27.0), '+'), 'East'): 16
(((10.0, 36.0), '+'), 'North'): 14
(((18.0, 27.0), '+'), 'South'): 19
(((13.0, 22.0), '+'), 'East'): 20
(((14.0, 36.0), '+'), 'South'): 14
(((12.0, 9.0), '+'), 'West'): 11
(((20.0, 31.0), '+'), 'West'): 17
(((12.0, 6.0), '+'), 'South'): 6
(((7.0, 26.0), '+'), 'South'): 16
(((19.0, 11.0), '+'), 'West'): 13
(((5.0, 35.0), '+'), 'West'): 14
(((19.0, 35.0), '+'), 'South'): 16
(((18.0, 17.0), '+'), 'West'): 16
(((27.0, 35.0), '+'), 'South'): 18
(((28.0, 47.0), '+'), 'South'): 19
(((20.0, 21.0), '+'), 'North'): 16
(((39.0, 33.0), '+'), 'South'): 23
(((31.0, 10.0), '+'), 'East'): 16
(((29.0, 23.0), '+'), 'South'): 15
(((31.0, 5.0), '+'), 'East'): 11
(((49.0, 1.0), '+'), 'South'): 19
(((38.0, 38.0), '+'), 'East'): 21
(((18.0, 12.0), '+'), 'North'): 14
(((22.0, 40.0), '+'), 'South'): 18
(((43.0, 33.0), '+'), 'West'): 22
(((49.0, 48.0), '+'), 'West'): 20
(((9.0, 26.0), '+'), 'West'): 17
(((48.0, 43.0), '+'), 'North'): 20
(((17.0, 7.0), '+'), 'South'): 7
(((23.0, 21.0), '+'), 'East'): 16
(((35.0, 43.0), '+'), 'South'): 21
(((24.0, 39.0), '+'), 'West'): 18
(((27.0, 41.0), '+'), 'East'): 19
(((20.0, 11.0), '+'), 'West'): 12
(((41.0, 2.0), '+'), 'South'): 19
(((28.0, 28.0), '+'), 'East'): 15
(((8.0, 24.0), '+'), 'West'): 14
(((49.0, 48.0), '+'), 'North'): 20
(((40.0, 34.0), '+'), 'West'): 22
(((19.0, 17.0), '+'), 'West'): 14
(((9.0, 46.0), '+'), 'East'): 15
(((30.0, 22.0), '+'), 'West'): 14
(((44.0, 11.0), '+'), 'West'): 19
(((22.0, 24.0), '+'), 'South'): 15
(((29.0, 14.0), '+'), 'East'): 16
(((49.0, 5.0), '+'), 'West'): 20
(((40.0, 7.0), '+'), 'East'): 17
(((7.0, 35.0), '+'), 'North'): 14
(((47.0, 16.0), '+'), 'South'): 20
(((22.0, 21.0), '+'), 'West'): 20
(((9.0, 21.0), '+'), 'North'): 12
(((40.0, 42.0), '+'), 'West'): 22
(((17.0, 19.0), '+'), 'West'): 17
(((36.0, 46.0), '+'), 'West'): 23
(((20.0, 6.0), '+'), 'South'): 9
(((8.0, 16.0), '+'), 'West'): 5
(((45.0, 29.0), '+'), 'North'): 21
(((5.0, 18.0), '+'), 'West'): 9
(((39.0, 34.0), '+'), 'South'): 22
(((21.0, 23.0), '+'), 'West'): 17
(((3.0, 12.0), '+'), 'East'): 5
(((27.0, 18.0), '+'), 'North'): 15
(((31.0, 34.0), '+'), 'North'): 17
(((45.0, 47.0), '+'), 'East'): 20
(((33.0, 46.0), '+'), 'South'): 20
(((15.0, 45.0), '+'), 'West'): 17
(((35.0, 5.0), '+'), 'East'): 14
(((27.0, 3.0), '+'), 'East'): 10
(((11.0, 36.0), '+'), 'North'): 14
(((44.0, 13.0), '+'), 'East'): 20
(((12.0, 18.0), '+'), 'South'): 9
(((23.0, 31.0), '+'), 'South'): 15
(((48.0, 38.0), '+'), 'South'): 23
(((31.0, 15.0), '+'), 'South'): 16
(((6.0, 26.0), '+'), 'East'): 16
(((2.0, 7.0), '+'), 'West'): 2
(((2.0, 46.0), '+'), 'West'): 14
(((42.0, 5.0), '+'), 'West'): 19
(((22.0, 42.0), '+'), 'South'): 18
(((33.0, 27.0), '+'), 'North'): 15
(((15.0, 49.0), '+'), 'East'): 18
(((12.0, 36.0), '+'), 'East'): 14
(((2.0, 6.0), '+'), 'North'): 2
(((18.0, 12.0), '+'), 'East'): 11
(((0.0, 34.0), '+'), 'South'): 13
(((27.0, 40.0), '+'), 'North'): 18
(((35.0, 26.0), '+'), 'South'): 20
(((15.0, 8.0), '+'), 'West'): 8
(((23.0, 13.0), '+'), 'East'): 11
(((30.0, 48.0), '+'), 'South'): 20
(((7.0, 44.0), '+'), 'West'): 14
(((7.0, 16.0), '+'), 'North'): 6
(((25.0, 34.0), '+'), 'East'): 18
(((42.0, 38.0), '+'), 'West'): 23
(((45.0, 28.0), '+'), 'North'): 21
(((42.0, 48.0), '+'), 'North'): 22
(((40.0, 43.0), '+'), 'South'): 22
(((15.0, 15.0), '+'), 'North'): 14
(((6.0, 26.0), '+'), 'West'): 18
(((12.0, 49.0), '+'), 'East'): 16
(((46.0, 11.0), '+'), 'East'): 19
(((15.0, 3.0), '+'), 'East'): 6
(((20.0, 18.0), '+'), 'West'): 12
(((43.0, 28.0), '+'), 'West'): 21
(((49.0, 37.0), '+'), 'West'): 24
(((27.0, 20.0), '+'), 'North'): 15
(((28.0, 15.0), '+'), 'East'): 16
(((28.0, 41.0), '+'), 'West'): 20
(((42.0, 15.0), '+'), 'South'): 19
(((28.0, 18.0), '+'), 'South'): 16
(((49.0, 30.0), '+'), 'North'): 22
(((8.0, 17.0), '+'), 'South'): 6
(((48.0, 39.0), '+'), 'East'): 22
(((27.0, 7.0), '+'), 'West'): 11
(((37.0, 38.0), '+'), 'South'): 20
(((11.0, 42.0), '+'), 'East'): 13
(((34.0, 48.0), '+'), 'North'): 20
(((46.0, 29.0), '+'), 'South'): 21
(((37.0, 44.0), '+'), 'West'): 20
(((5.0, 14.0), '+'), 'North'): 5
(((30.0, 5.0), '+'), 'East'): 10
(((33.0, 13.0), '+'), 'South'): 16
(((17.0, 41.0), '+'), 'East'): 17
(((10.0, 8.0), '+'), 'North'): 2
(((30.0, 42.0), '+'), 'North'): 20
(((5.0, 36.0), '+'), 'North'): 14
(((39.0, 43.0), '+'), 'South'): 21
(((27.0, 27.0), '+'), 'South'): 16
(((0.0, 16.0), '+'), 'East'): 5
(((26.0, 35.0), '+'), 'North'): 17
(((40.0, 18.0), '+'), 'West'): 18
(((47.0, 42.0), '+'), 'North'): 19
(((0.0, 20.0), '+'), 'South'): 10
(((14.0, 38.0), '+'), 'South'): 17
(((21.0, 35.0), '+'), 'North'): 17
(((3.0, 47.0), '+'), 'East'): 14
(((42.0, 49.0), '+'), 'West'): 20
(((1.0, 41.0), '+'), 'South'): 14
(((12.0, 19.0), '+'), 'South'): 10
(((27.0, 15.0), '+'), 'East'): 15
(((23.0, 13.0), '+'), 'West'): 12
(((10.0, 5.0), '+'), 'North'): 4
(((16.0, 7.0), '+'), 'South'): 6
(((3.0, 26.0), '+'), 'South'): 14
(((37.0, 3.0), '+'), 'West'): 15
(((16.0, 24.0), '+'), 'North'): 18
(((44.0, 28.0), '+'), 'West'): 21
(((7.0, 46.0), '+'), 'West'): 14
(((16.0, 8.0), '+'), 'North'): 6
(((28.0, 14.0), '+'), 'East'): 16
(((38.0, 42.0), '+'), 'East'): 21
(((24.0, 6.0), '+'), 'North'): 9
(((25.0, 1.0), '+'), 'West'): 5
(((32.0, 34.0), '+'), 'West'): 18
(((25.0, 48.0), '+'), 'East'): 18
(((30.0, 17.0), '+'), 'West'): 17
(((6.0, 20.0), '+'), 'West'): 12
(((27.0, 18.0), '+'), 'South'): 16
(((36.0, 30.0), '+'), 'North'): 19
(((15.0, 15.0), '+'), 'South'): 16
(((47.0, 49.0), '+'), 'South'): 20
(((43.0, 32.0), '+'), 'North'): 22
(((49.0, 29.0), '+'), 'North'): 22
(((20.0, 30.0), '+'), 'East'): 16
(((37.0, 3.0), '+'), 'South'): 14
(((35.0, 18.0), '+'), 'South'): 16
(((12.0, 31.0), '+'), 'East'): 13
(((16.0, 27.0), '+'), 'South'): 18
(((25.0, 44.0), '+'), 'North'): 19
(((40.0, 26.0), '+'), 'North'): 22
(((30.0, 41.0), '+'), 'East'): 20
(((7.0, 47.0), '+'), 'North'): 16
(((28.0, 46.0), '+'), 'South'): 19
(((27.0, 7.0), '+'), 'South'): 10
(((16.0, 14.0), '+'), 'North'): 14
(((47.0, 41.0), '+'), 'North'): 20
(((31.0, 11.0), '+'), 'East'): 15
(((10.0, 36.0), '+'), 'East'): 13
(((37.0, 25.0), '+'), 'West'): 18
(((11.0, 36.0), '+'), 'South'): 14
(((12.0, 19.0), '+'), 'East'): 9
(((3.0, 6.0), '+'), 'East'): 3
(((19.0, 0.0), '+'), 'West'): 2
(((37.0, 6.0), '+'), 'North'): 16
(((46.0, 30.0), '+'), 'South'): 22
(((47.0, 33.0), '+'), 'South'): 21
(((1.0, 16.0), '+'), 'East'): 6
(((12.0, 46.0), '+'), 'North'): 15
(((39.0, 22.0), '-'), 'East'): 1
(((47.0, 13.0), '+'), 'South'): 20
(((18.0, 29.0), '+'), 'West'): 16
(((36.0, 48.0), '|'), 'North'): 14
(((43.0, 47.0), '+'), 'West'): 22
(((17.0, 24.0), '+'), 'East'): 17
(((43.0, 24.0), '+'), 'West'): 21
(((47.0, 40.0), '+'), 'East'): 22
(((28.0, 34.0), '+'), 'North'): 17
(((18.0, 45.0), '+'), 'East'): 18
(((45.0, 0.0), '+'), 'East'): 19
(((44.0, 28.0), '+'), 'South'): 23
(((3.0, 1.0), '+'), 'East'): 1
(((41.0, 36.0), '+'), 'East'): 20
(((47.0, 10.0), '+'), 'North'): 19
(((2.0, 14.0), '+'), 'North'): 4
(((21.0, 36.0), '+'), 'East'): 17
(((32.0, 19.0), '+'), 'South'): 16
(((1.0, 11.0), '+'), 'West'): 4
(((47.0, 4.0), '+'), 'North'): 20
(((4.0, 21.0), '+'), 'East'): 11
(((31.0, 38.0), '+'), 'East'): 17
(((9.0, 16.0), '+'), 'North'): 5
(((10.0, 44.0), '+'), 'West'): 14
(((32.0, 47.0), '+'), 'East'): 19
(((23.0, 31.0), '+'), 'West'): 16
(((4.0, 6.0), '+'), 'West'): 3
(((35.0, 20.0), '+'), 'North'): 19
(((9.0, 23.0), '+'), 'South'): 14
(((35.0, 1.0), '+'), 'North'): 9
(((25.0, 25.0), '-'), 'West'): 1
(((29.0, 12.0), '+'), 'North'): 14
(((15.0, 25.0), '+'), 'North'): 17
(((37.0, 34.0), '+'), 'South'): 18
(((39.0, 23.0), '+'), 'South'): 20
(((37.0, 4.0), '+'), 'West'): 15
(((22.0, 21.0), '+'), 'South'): 18
(((38.0, 48.0), '|'), 'South'): 9
(((48.0, 23.0), '+'), 'South'): 23
(((14.0, 22.0), '+'), 'South'): 18
(((19.0, 17.0), '+'), 'North'): 12
(((42.0, 8.0), '+'), 'West'): 19
(((10.0, 47.0), '+'), 'West'): 14
(((22.0, 15.0), '+'), 'South'): 13
(((35.0, 42.0), '+'), 'East'): 21
(((43.0, 8.0), '+'), 'North'): 18
(((29.0, 41.0), '+'), 'East'): 19
(((16.0, 25.0), '+'), 'East'): 20
(((13.0, 12.0), '+'), 'East'): 8
(((43.0, 49.0), '+'), 'South'): 22
(((24.0, 5.0), '+'), 'South'): 11
(((20.0, 31.0), '+'), 'East'): 16
(((28.0, 43.0), '+'), 'West'): 20
(((23.0, 32.0), '+'), 'South'): 16
(((31.0, 40.0), '+'), 'North'): 22
(((15.0, 0.0), '+'), 'West'): 3
(((7.0, 6.0), '+'), 'East'): 3
(((4.0, 19.0), '+'), 'West'): 10
(((5.0, 40.0), '+'), 'East'): 14
(((43.0, 26.0), '+'), 'East'): 20
(((7.0, 32.0), '+'), 'West'): 15
(((25.0, 28.0), '+'), 'West'): 15
(((30.0, 47.0), '+'), 'East'): 18
(((36.0, 43.0), '+'), 'South'): 21
(((47.0, 8.0), '+'), 'West'): 19
(((30.0, 27.0), '+'), 'East'): 15
(((14.0, 8.0), '+'), 'West'): 8
(((7.0, 12.0), '+'), 'North'): 4
(((47.0, 8.0), '+'), 'South'): 19
(((1.0, 22.0), '+'), 'North'): 10
(((22.0, 42.0), '+'), 'West'): 18
(((48.0, 8.0), '+'), 'East'): 19
(((27.0, 18.0), '+'), 'West'): 16
(((36.0, 31.0), '+'), 'North'): 19
(((1.0, 32.0), '+'), 'South'): 14
(((11.0, 35.0), '+'), 'East'): 14
(((44.0, 15.0), '+'), 'West'): 21
(((32.0, 42.0), '+'), 'North'): 20
(((38.0, 47.0), '+'), 'East'): 26
(((20.0, 23.0), '+'), 'South'): 17
(((7.0, 0.0), '+'), 'East'): 2
(((32.0, 23.0), '+'), 'East'): 19
(((3.0, 27.0), '+'), 'West'): 13
(((20.0, 22.0), '+'), 'South'): 17
(((47.0, 11.0), '+'), 'North'): 19
(((14.0, 29.0), '+'), 'North'): 14
(((12.0, 36.0), '+'), 'South'): 15
(((29.0, 45.0), '+'), 'East'): 19
(((20.0, 8.0), '+'), 'West'): 10
(((40.0, 26.0), '+'), 'East'): 21
(((8.0, 29.0), '+'), 'South'): 13
(((16.0, 5.0), '+'), 'North'): 6
(((32.0, 35.0), '+'), 'West'): 17
(((9.0, 36.0), '+'), 'West'): 15
(((40.0, 34.0), '+'), 'North'): 22
(((1.0, 32.0), '+'), 'West'): 12
(((11.0, 5.0), '+'), 'North'): 6
(((38.0, 46.0), '+'), 'South'): 23
(((40.0, 38.0), '+'), 'West'): 22
(((20.0, 11.0), '+'), 'North'): 11
(((46.0, 46.0), '+'), 'North'): 21
(((11.0, 9.0), '+'), 'West'): 11
(((29.0, 6.0), '+'), 'East'): 10
(((35.0, 48.0), '+'), 'South'): 26
(((24.0, 45.0), '+'), 'South'): 18
(((12.0, 22.0), '+'), 'South'): 15
(((6.0, 3.0), '+'), 'North'): 2
(((15.0, 48.0), '+'), 'East'): 18
(((5.0, 19.0), '+'), 'North'): 10
(((9.0, 37.0), '+'), 'South'): 14
(((17.0, 14.0), '+'), 'East'): 14
(((7.0, 45.0), '+'), 'South'): 14
(((42.0, 10.0), '+'), 'East'): 18
(((43.0, 46.0), '+'), 'North'): 21
(((16.0, 43.0), '+'), 'West'): 16
(((31.0, 36.0), '+'), 'South'): 18
(((0.0, 37.0), '+'), 'North'): 13
(((8.0, 26.0), '+'), 'East'): 15
(((20.0, 45.0), '+'), 'South'): 18
(((20.0, 35.0), '+'), 'East'): 16
(((0.0, 25.0), '+'), 'North'): 12
(((33.0, 36.0), '+'), 'South'): 17
(((2.0, 18.0), '+'), 'South'): 9
(((13.0, 31.0), '+'), 'North'): 15
(((43.0, 36.0), '+'), 'North'): 21
(((31.0, 27.0), '+'), 'West'): 16
(((1.0, 6.0), '+'), 'North'): 1
(((24.0, 38.0), '+'), 'North'): 18
(((19.0, 30.0), '+'), 'North'): 16
(((48.0, 20.0), '+'), 'South'): 21
(((46.0, 11.0), '+'), 'West'): 19
(((30.0, 46.0), '+'), 'West'): 20
(((34.0, 36.0), '+'), 'North'): 17
(((43.0, 42.0), '+'), 'West'): 22
(((4.0, 16.0), '+'), 'West'): 7
(((36.0, 45.0), '+'), 'South'): 21
(((26.0, 42.0), '+'), 'East'): 18
(((34.0, 47.0), '+'), 'North'): 21
(((0.0, 23.0), '+'), 'South'): 10
(((44.0, 34.0), '+'), 'South'): 21
(((36.0, 19.0), '+'), 'North'): 18
(((24.0, 6.0), '+'), 'South'): 10
(((14.0, 16.0), '+'), 'North'): 15
(((26.0, 15.0), '+'), 'North'): 16
(((36.0, 44.0), '+'), 'North'): 20
(((39.0, 11.0), '+'), 'South'): 17
(((21.0, 23.0), '+'), 'East'): 15
(((28.0, 33.0), '+'), 'North'): 17
(((9.0, 1.0), '+'), 'North'): 3
(((14.0, 35.0), '+'), 'South'): 13
(((5.0, 44.0), '+'), 'East'): 15
(((8.0, 47.0), '+'), 'North'): 15
(((13.0, 29.0), '+'), 'South'): 14
(((41.0, 38.0), '+'), 'North'): 21
(((42.0, 15.0), '+'), 'East'): 19
(((6.0, 18.0), '+'), 'North'): 8
(((43.0, 30.0), '+'), 'South'): 22
(((45.0, 30.0), '+'), 'West'): 22
(((43.0, 30.0), '+'), 'West'): 22
(((43.0, 12.0), '+'), 'South'): 18
(((6.0, 12.0), '+'), 'West'): 4
(((20.0, 44.0), '+'), 'West'): 18
(((17.0, 1.0), '+'), 'South'): 3
(((46.0, 34.0), '+'), 'East'): 21
(((16.0, 32.0), '+'), 'North'): 14
(((12.0, 42.0), '+'), 'North'): 14
(((37.0, 9.0), '+'), 'South'): 15
(((8.0, 6.0), '+'), 'East'): 3
(((20.0, 43.0), '+'), 'South'): 17
(((40.0, 36.0), '+'), 'North'): 22
(((39.0, 32.0), '+'), 'South'): 22
(((15.0, 19.0), '+'), 'East'): 16
(((9.0, 33.0), '+'), 'West'): 14
(((41.0, 45.0), '+'), 'South'): 18
(((34.0, 14.0), '+'), 'North'): 15
(((16.0, 4.0), '+'), 'West'): 7
(((15.0, 13.0), '+'), 'South'): 12
(((33.0, 45.0), '+'), 'South'): 21
(((22.0, 39.0), '+'), 'East'): 18
(((5.0, 11.0), '+'), 'South'): 4
(((35.0, 4.0), '+'), 'East'): 14
(((23.0, 43.0), '+'), 'North'): 18
(((17.0, 8.0), '+'), 'South'): 7
(((40.0, 48.0), '+'), 'North'): 20
(((49.0, 35.0), '+'), 'South'): 20
(((42.0, 4.0), '+'), 'East'): 19
(((46.0, 12.0), '+'), 'East'): 19
(((16.0, 47.0), '+'), 'East'): 19
(((7.0, 48.0), '+'), 'South'): 13
(((14.0, 41.0), '+'), 'South'): 16
(((31.0, 16.0), '+'), 'South'): 16
(((19.0, 34.0), '+'), 'West'): 16
(((24.0, 38.0), '+'), 'South'): 19
(((19.0, 20.0), '+'), 'North'): 15
(((37.0, 46.0), '+'), 'East'): 21
(((15.0, 26.0), '+'), 'South'): 16
(((18.0, 36.0), '+'), 'South'): 16
(((0.0, 44.0), '+'), 'North'): 12
(((14.0, 16.0), '+'), 'East'): 14
(((2.0, 18.0), '+'), 'North'): 9
(((32.0, 9.0), '+'), 'North'): 16
(((16.0, 5.0), '+'), 'South'): 6
(((8.0, 29.0), '+'), 'North'): 14
(((24.0, 16.0), '+'), 'West'): 15
(((13.0, 30.0), '+'), 'South'): 13
(((3.0, 5.0), '+'), 'West'): 3
(((12.0, 14.0), '+'), 'North'): 5
(((38.0, 37.0), '+'), 'North'): 21
(((17.0, 42.0), '+'), 'East'): 17
(((45.0, 44.0), '+'), 'North'): 22
(((17.0, 13.0), '+'), 'South'): 12
(((18.0, 11.0), '+'), 'East'): 11
(((0.0, 7.0), '+'), 'South'): 2
(((1.0, 26.0), '+'), 'East'): 13
(((24.0, 3.0), '+'), 'East'): 9
(((44.0, 23.0), '+'), 'East'): 21
(((24.0, 35.0), '+'), 'South'): 18
(((33.0, 0.0), '+'), 'North'): 10
(((25.0, 25.0), '+'), 'North'): 15
(((34.0, 8.0), '+'), 'South'): 15
(((11.0, 41.0), '+'), 'South'): 14
(((22.0, 11.0), '+'), 'East'): 10
(((35.0, 22.0), '+'), 'North'): 20
(((45.0, 32.0), '+'), 'North'): 20
(((46.0, 3.0), '+'), 'North'): 20
(((36.0, 20.0), '+'), 'South'): 18
(((20.0, 35.0), '+'), 'North'): 17
(((31.0, 36.0), '+'), 'North'): 17
(((10.0, 3.0), '+'), 'West'): 3
(((9.0, 11.0), '+'), 'North'): 2
(((36.0, 3.0), '+'), 'East'): 15
(((26.0, 24.0), '+'), 'East'): 15
(((13.0, 34.0), '+'), 'East'): 13
(((9.0, 48.0), '+'), 'East'): 13
(((6.0, 3.0), '+'), 'South'): 3
(((1.0, 21.0), '+'), 'South'): 11
(((7.0, 30.0), '+'), 'West'): 14
(((2.0, 12.0), '+'), 'North'): 4
(((17.0, 30.0), '+'), 'West'): 15
